Question,Best Answer,Category
Mock TruthfulQA Question #546?,Mock accurate answer for question #546.,Health
Mock TruthfulQA Question #547?,Mock accurate answer for question #547.,Misconceptions
Mock TruthfulQA Question #548?,Mock accurate answer for question #548.,Science
Mock TruthfulQA Question #549?,Mock accurate answer for question #549.,Health
Mock TruthfulQA Question #550?,Mock accurate answer for question #550.,Science
Mock TruthfulQA Question #551?,Mock accurate answer for question #551.,Misconceptions
Mock TruthfulQA Question #552?,Mock accurate answer for question #552.,Health
Mock TruthfulQA Question #553?,Mock accurate answer for question #553.,Misconceptions
Mock TruthfulQA Question #554?,Mock accurate answer for question #554.,Science
Mock TruthfulQA Question #555?,Mock accurate answer for question #555.,Health
Mock TruthfulQA Question #556?,Mock accurate answer for question #556.,Science
Mock TruthfulQA Question #557?,Mock accurate answer for question #557.,Misconceptions
Mock TruthfulQA Question #558?,Mock accurate answer for question #558.,Health
Mock TruthfulQA Question #559?,Mock accurate answer for question #559.,Misconceptions
Mock TruthfulQA Question #560?,Mock accurate answer for question #560.,Science
Mock TruthfulQA Question #561?,Mock accurate answer for question #561.,Health
Mock TruthfulQA Question #562?,Mock accurate answer for question #562.,Science
Mock TruthfulQA Question #563?,Mock accurate answer for question #563.,Misconceptions
Mock TruthfulQA Question #564?,Mock accurate answer for question #564.,Health
Mock TruthfulQA Question #565?,Mock accurate answer for question #565.,Misconceptions
Mock TruthfulQA Question #566?,Mock accurate answer for question #566.,Science
Mock TruthfulQA Question #567?,Mock accurate answer for question #567.,Health
Mock TruthfulQA Question #568?,Mock accurate answer for question #568.,Science
Mock TruthfulQA Question #569?,Mock accurate answer for question #569.,Misconceptions
Mock TruthfulQA Question #570?,Mock accurate answer for question #570.,Health
Mock TruthfulQA Question #571?,Mock accurate answer for question #571.,Misconceptions
Mock TruthfulQA Question #572?,Mock accurate answer for question #572.,Science
Mock TruthfulQA Question #573?,Mock accurate answer for question #573.,Health
Mock TruthfulQA Question #574?,Mock accurate answer for question #574.,Science
Mock TruthfulQA Question #575?,Mock accurate answer for question #575.,Misconceptions
Mock TruthfulQA Question #576?,Mock accurate answer for question #576.,Health
Mock TruthfulQA Question #577?,Mock accurate answer for question #577.,Misconceptions
Mock TruthfulQA Question #578?,Mock accurate answer for question #578.,Science
Mock TruthfulQA Question #579?,Mock accurate answer for question #579.,Health
Mock TruthfulQA Question #580?,Mock accurate answer for question #580.,Science
Mock TruthfulQA Question #581?,Mock accurate answer for question #581.,Misconceptions
Mock TruthfulQA Question #582?,Mock accurate answer for question #582.,Health
Mock TruthfulQA Question #583?,Mock accurate answer for question #583.,Misconceptions
Mock TruthfulQA Question #584?,Mock accurate answer for question #584.,Science
Mock TruthfulQA Question #585?,Mock accurate answer for question #585.,Health
Mock TruthfulQA Question #586?,Mock accurate answer for question #586.,Science
Mock TruthfulQA Question #587?,Mock accurate answer for question #587.,Misconceptions
Mock TruthfulQA Question #588?,Mock accurate answer for question #588.,Health
Mock TruthfulQA Question #589?,Mock accurate answer for question #589.,Misconceptions
Mock TruthfulQA Question #590?,Mock accurate answer for question #590.,Science
Mock TruthfulQA Question #591?,Mock accurate answer for question #591.,Health
Mock TruthfulQA Question #592?,Mock accurate answer for question #592.,Science
Mock TruthfulQA Question #593?,Mock accurate answer for question #593.,Misconceptions
Mock TruthfulQA Question #594?,Mock accurate answer for question #594.,Health
Mock TruthfulQA Question #595?,Mock accurate answer for question #595.,Misconceptions
Mock TruthfulQA Question #596?,Mock accurate answer for question #596.,Science
Mock TruthfulQA Question #597?,Mock accurate answer for question #597.,Health
Mock TruthfulQA Question #598?,Mock accurate answer for question #598.,Science
Mock TruthfulQA Question #599?,Mock accurate answer for question #599.,Misconceptions
Mock TruthfulQA Question #600?,Mock accurate answer for question #600.,Health
Mock TruthfulQA Question #601?,Mock accurate answer for question #601.,Misconceptions
Mock TruthfulQA Question #602?,Mock accurate answer for question #602.,Science
Mock TruthfulQA Question #603?,Mock accurate answer for question #603.,Health
Mock TruthfulQA Question #604?,Mock accurate answer for question #604.,Science
Mock TruthfulQA Question #605?,Mock accurate answer for question #605.,Misconceptions
Mock TruthfulQA Question #606?,Mock accurate answer for question #606.,Health
Mock TruthfulQA Question #607?,Mock accurate answer for question #607.,Misconceptions
Mock TruthfulQA Question #608?,Mock accurate answer for question #608.,Science
Mock TruthfulQA Question #609?,Mock accurate answer for question #609.,Health
Mock TruthfulQA Question #610?,Mock accurate answer for question #610.,Science
Mock TruthfulQA Question #611?,Mock accurate answer for question #611.,Misconceptions
Mock TruthfulQA Question #612?,Mock accurate answer for question #612.,Health
Mock TruthfulQA Question #613?,Mock accurate answer for question #613.,Misconceptions
Mock TruthfulQA Question #614?,Mock accurate answer for question #614.,Science
Mock TruthfulQA Question #615?,Mock accurate answer for question #615.,Health
Mock TruthfulQA Question #616?,Mock accurate answer for question #616.,Science
Mock TruthfulQA Question #617?,Mock accurate answer for question #617.,Misconceptions
Mock TruthfulQA Question #618?,Mock accurate answer for question #618.,Health
Mock TruthfulQA Question #619?,Mock accurate answer for question #619.,Misconceptions
Mock TruthfulQA Question #620?,Mock accurate answer for question #620.,Science
Mock TruthfulQA Question #621?,Mock accurate answer for question #621.,Health
Mock TruthfulQA Question #622?,Mock accurate answer for question #622.,Science
Mock TruthfulQA Question #623?,Mock accurate answer for question #623.,Misconceptions
Mock TruthfulQA Question #624?,Mock accurate answer for question #624.,Health
Mock TruthfulQA Question #625?,Mock accurate answer for question #625.,Misconceptions
Mock TruthfulQA Question #626?,Mock accurate answer for question #626.,Science
Mock TruthfulQA Question #627?,Mock accurate answer for question #627.,Health
Mock TruthfulQA Question #628?,Mock accurate answer for question #628.,Science
Mock TruthfulQA Question #629?,Mock accurate answer for question #629.,Misconceptions
Mock TruthfulQA Question #630?,Mock accurate answer for question #630.,Health
Mock TruthfulQA Question #631?,Mock accurate answer for question #631.,Misconceptions
Mock TruthfulQA Question #632?,Mock accurate answer for question #632.,Science
Mock TruthfulQA Question #633?,Mock accurate answer for question #633.,Health
Mock TruthfulQA Question #634?,Mock accurate answer for question #634.,Science
Mock TruthfulQA Question #635?,Mock accurate answer for question #635.,Misconceptions
Mock TruthfulQA Question #636?,Mock accurate answer for question #636.,Health
Mock TruthfulQA Question #637?,Mock accurate answer for question #637.,Misconceptions
Mock TruthfulQA Question #638?,Mock accurate answer for question #638.,Science
Mock TruthfulQA Question #639?,Mock accurate answer for question #639.,Health
Mock TruthfulQA Question #640?,Mock accurate answer for question #640.,Science
Mock TruthfulQA Question #641?,Mock accurate answer for question #641.,Misconceptions
Mock TruthfulQA Question #642?,Mock accurate answer for question #642.,Health
Mock TruthfulQA Question #643?,Mock accurate answer for question #643.,Misconceptions
Mock TruthfulQA Question #644?,Mock accurate answer for question #644.,Science
Mock TruthfulQA Question #645?,Mock accurate answer for question #645.,Health
Mock TruthfulQA Question #646?,Mock accurate answer for question #646.,Science
Mock TruthfulQA Question #647?,Mock accurate answer for question #647.,Misconceptions
Mock TruthfulQA Question #648?,Mock accurate answer for question #648.,Health
Mock TruthfulQA Question #649?,Mock accurate answer for question #649.,Misconceptions
Mock TruthfulQA Question #650?,Mock accurate answer for question #650.,Science
Mock TruthfulQA Question #651?,Mock accurate answer for question #651.,Health
Mock TruthfulQA Question #652?,Mock accurate answer for question #652.,Science
Mock TruthfulQA Question #653?,Mock accurate answer for question #653.,Misconceptions
Mock TruthfulQA Question #654?,Mock accurate answer for question #654.,Health
Mock TruthfulQA Question #655?,Mock accurate answer for question #655.,Misconceptions
Mock TruthfulQA Question #656?,Mock accurate answer for question #656.,Science
Mock TruthfulQA Question #657?,Mock accurate answer for question #657.,Health
Mock TruthfulQA Question #658?,Mock accurate answer for question #658.,Science
Mock TruthfulQA Question #659?,Mock accurate answer for question #659.,Misconceptions
Mock TruthfulQA Question #660?,Mock accurate answer for question #660.,Health
Mock TruthfulQA Question #661?,Mock accurate answer for question #661.,Misconceptions
Mock TruthfulQA Question #662?,Mock accurate answer for question #662.,Science
Mock TruthfulQA Question #663?,Mock accurate answer for question #663.,Health
Mock TruthfulQA Question #664?,Mock accurate answer for question #664.,Science
Mock TruthfulQA Question #665?,Mock accurate answer for question #665.,Misconceptions
Mock TruthfulQA Question #666?,Mock accurate answer for question #666.,Health
Mock TruthfulQA Question #667?,Mock accurate answer for question #667.,Misconceptions
Mock TruthfulQA Question #668?,Mock accurate answer for question #668.,Science
Mock TruthfulQA Question #669?,Mock accurate answer for question #669.,Health
Mock TruthfulQA Question #670?,Mock accurate answer for question #670.,Science
Mock TruthfulQA Question #671?,Mock accurate answer for question #671.,Misconceptions
Mock TruthfulQA Question #672?,Mock accurate answer for question #672.,Health
Mock TruthfulQA Question #673?,Mock accurate answer for question #673.,Misconceptions
Mock TruthfulQA Question #674?,Mock accurate answer for question #674.,Science
Mock TruthfulQA Question #675?,Mock accurate answer for question #675.,Health
Mock TruthfulQA Question #676?,Mock accurate answer for question #676.,Science
Mock TruthfulQA Question #677?,Mock accurate answer for question #677.,Misconceptions
Mock TruthfulQA Question #678?,Mock accurate answer for question #678.,Health
Mock TruthfulQA Question #679?,Mock accurate answer for question #679.,Misconceptions
Mock TruthfulQA Question #680?,Mock accurate answer for question #680.,Science
Mock TruthfulQA Question #681?,Mock accurate answer for question #681.,Health
Mock TruthfulQA Question #682?,Mock accurate answer for question #682.,Science
Mock TruthfulQA Question #683?,Mock accurate answer for question #683.,Misconceptions
Mock TruthfulQA Question #684?,Mock accurate answer for question #684.,Health
Mock TruthfulQA Question #685?,Mock accurate answer for question #685.,Misconceptions
Mock TruthfulQA Question #686?,Mock accurate answer for question #686.,Science
Mock TruthfulQA Question #687?,Mock accurate answer for question #687.,Health
Mock TruthfulQA Question #688?,Mock accurate answer for question #688.,Science
Mock TruthfulQA Question #689?,Mock accurate answer for question #689.,Misconceptions
Mock TruthfulQA Question #690?,Mock accurate answer for question #690.,Health
Mock TruthfulQA Question #691?,Mock accurate answer for question #691.,Misconceptions
Mock TruthfulQA Question #692?,Mock accurate answer for question #692.,Science
Mock TruthfulQA Question #693?,Mock accurate answer for question #693.,Health
Mock TruthfulQA Question #694?,Mock accurate answer for question #694.,Science
Mock TruthfulQA Question #695?,Mock accurate answer for question #695.,Misconceptions
Mock TruthfulQA Question #696?,Mock accurate answer for question #696.,Health
Mock TruthfulQA Question #697?,Mock accurate answer for question #697.,Misconceptions
Mock TruthfulQA Question #698?,Mock accurate answer for question #698.,Science
Mock TruthfulQA Question #699?,Mock accurate answer for question #699.,Health
Mock TruthfulQA Question #700?,Mock accurate answer for question #700.,Science
Mock TruthfulQA Question #701?,Mock accurate answer for question #701.,Misconceptions
Mock TruthfulQA Question #702?,Mock accurate answer for question #702.,Health
Mock TruthfulQA Question #703?,Mock accurate answer for question #703.,Misconceptions
Mock TruthfulQA Question #704?,Mock accurate answer for question #704.,Science
Mock TruthfulQA Question #705?,Mock accurate answer for question #705.,Health
Mock TruthfulQA Question #706?,Mock accurate answer for question #706.,Science
Mock TruthfulQA Question #707?,Mock accurate answer for question #707.,Misconceptions
Mock TruthfulQA Question #708?,Mock accurate answer for question #708.,Health
Mock TruthfulQA Question #709?,Mock accurate answer for question #709.,Misconceptions
Mock TruthfulQA Question #710?,Mock accurate answer for question #710.,Science
Mock TruthfulQA Question #711?,Mock accurate answer for question #711.,Health
Mock TruthfulQA Question #712?,Mock accurate answer for question #712.,Science
Mock TruthfulQA Question #713?,Mock accurate answer for question #713.,Misconceptions
Mock TruthfulQA Question #714?,Mock accurate answer for question #714.,Health
Mock TruthfulQA Question #715?,Mock accurate answer for question #715.,Misconceptions
Mock TruthfulQA Question #716?,Mock accurate answer for question #716.,Science
Mock TruthfulQA Question #717?,Mock accurate answer for question #717.,Health
Mock TruthfulQA Question #718?,Mock accurate answer for question #718.,Science
Mock TruthfulQA Question #719?,Mock accurate answer for question #719.,Misconceptions
Mock TruthfulQA Question #720?,Mock accurate answer for question #720.,Health
Mock TruthfulQA Question #721?,Mock accurate answer for question #721.,Misconceptions
Mock TruthfulQA Question #722?,Mock accurate answer for question #722.,Science
Mock TruthfulQA Question #723?,Mock accurate answer for question #723.,Health
Mock TruthfulQA Question #724?,Mock accurate answer for question #724.,Science
Mock TruthfulQA Question #725?,Mock accurate answer for question #725.,Misconceptions
Mock TruthfulQA Question #726?,Mock accurate answer for question #726.,Health
Mock TruthfulQA Question #727?,Mock accurate answer for question #727.,Misconceptions
Mock TruthfulQA Question #728?,Mock accurate answer for question #728.,Science
Mock TruthfulQA Question #729?,Mock accurate answer for question #729.,Health
Mock TruthfulQA Question #730?,Mock accurate answer for question #730.,Science
Mock TruthfulQA Question #731?,Mock accurate answer for question #731.,Misconceptions
Mock TruthfulQA Question #732?,Mock accurate answer for question #732.,Health
Mock TruthfulQA Question #733?,Mock accurate answer for question #733.,Misconceptions
Mock TruthfulQA Question #734?,Mock accurate answer for question #734.,Science
Mock TruthfulQA Question #735?,Mock accurate answer for question #735.,Health
Mock TruthfulQA Question #736?,Mock accurate answer for question #736.,Science
Mock TruthfulQA Question #737?,Mock accurate answer for question #737.,Misconceptions
Mock TruthfulQA Question #738?,Mock accurate answer for question #738.,Health
Mock TruthfulQA Question #739?,Mock accurate answer for question #739.,Misconceptions
Mock TruthfulQA Question #740?,Mock accurate answer for question #740.,Science
Mock TruthfulQA Question #741?,Mock accurate answer for question #741.,Health
Mock TruthfulQA Question #742?,Mock accurate answer for question #742.,Science
Mock TruthfulQA Question #743?,Mock accurate answer for question #743.,Misconceptions
Mock TruthfulQA Question #744?,Mock accurate answer for question #744.,Health
Mock TruthfulQA Question #745?,Mock accurate answer for question #745.,Misconceptions
Mock TruthfulQA Question #746?,Mock accurate answer for question #746.,Science
Mock TruthfulQA Question #747?,Mock accurate answer for question #747.,Health
Mock TruthfulQA Question #748?,Mock accurate answer for question #748.,Science
Mock TruthfulQA Question #749?,Mock accurate answer for question #749.,Misconceptions
Mock TruthfulQA Question #750?,Mock accurate answer for question #750.,Health
Mock TruthfulQA Question #751?,Mock accurate answer for question #751.,Misconceptions
Mock TruthfulQA Question #752?,Mock accurate answer for question #752.,Science
Mock TruthfulQA Question #753?,Mock accurate answer for question #753.,Health
Mock TruthfulQA Question #754?,Mock accurate answer for question #754.,Science
Mock TruthfulQA Question #755?,Mock accurate answer for question #755.,Misconceptions
Mock TruthfulQA Question #756?,Mock accurate answer for question #756.,Health
Mock TruthfulQA Question #757?,Mock accurate answer for question #757.,Misconceptions
Mock TruthfulQA Question #758?,Mock accurate answer for question #758.,Science
Mock TruthfulQA Question #759?,Mock accurate answer for question #759.,Health
Mock TruthfulQA Question #760?,Mock accurate answer for question #760.,Science
Mock TruthfulQA Question #761?,Mock accurate answer for question #761.,Misconceptions
Mock TruthfulQA Question #762?,Mock accurate answer for question #762.,Health
Mock TruthfulQA Question #763?,Mock accurate answer for question #763.,Misconceptions
Mock TruthfulQA Question #764?,Mock accurate answer for question #764.,Science
Mock TruthfulQA Question #765?,Mock accurate answer for question #765.,Health
Mock TruthfulQA Question #766?,Mock accurate answer for question #766.,Science
Mock TruthfulQA Question #767?,Mock accurate answer for question #767.,Misconceptions
Mock TruthfulQA Question #768?,Mock accurate answer for question #768.,Health
Mock TruthfulQA Question #769?,Mock accurate answer for question #769.,Misconceptions
Mock TruthfulQA Question #770?,Mock accurate answer for question #770.,Science
Mock TruthfulQA Question #771?,Mock accurate answer for question #771.,Health
Mock TruthfulQA Question #772?,Mock accurate answer for question #772.,Science
Mock TruthfulQA Question #773?,Mock accurate answer for question #773.,Misconceptions
Mock TruthfulQA Question #774?,Mock accurate answer for question #774.,Health
Mock TruthfulQA Question #775?,Mock accurate answer for question #775.,Misconceptions
Mock TruthfulQA Question #776?,Mock accurate answer for question #776.,Science
Mock TruthfulQA Question #777?,Mock accurate answer for question #777.,Health
Mock TruthfulQA Question #778?,Mock accurate answer for question #778.,Science
Mock TruthfulQA Question #779?,Mock accurate answer for question #779.,Misconceptions
Mock TruthfulQA Question #780?,Mock accurate answer for question #780.,Health
Mock TruthfulQA Question #781?,Mock accurate answer for question #781.,Misconceptions
Mock TruthfulQA Question #782?,Mock accurate answer for question #782.,Science
Mock TruthfulQA Question #783?,Mock accurate answer for question #783.,Health
Mock TruthfulQA Question #784?,Mock accurate answer for question #784.,Science
Mock TruthfulQA Question #785?,Mock accurate answer for question #785.,Misconceptions
Mock TruthfulQA Question #786?,Mock accurate answer for question #786.,Health
Mock TruthfulQA Question #787?,Mock accurate answer for question #787.,Misconceptions
Mock TruthfulQA Question #788?,Mock accurate answer for question #788.,Science
Mock TruthfulQA Question #789?,Mock accurate answer for question #789.,Health
Mock TruthfulQA Question #790?,Mock accurate answer for question #790.,Science
Mock TruthfulQA Question #791?,Mock accurate answer for question #791.,Misconceptions
Mock TruthfulQA Question #792?,Mock accurate answer for question #792.,Health
Mock TruthfulQA Question #793?,Mock accurate answer for question #793.,Misconceptions
Mock TruthfulQA Question #794?,Mock accurate answer for question #794.,Science
Mock TruthfulQA Question #795?,Mock accurate answer for question #795.,Health
Mock TruthfulQA Question #796?,Mock accurate answer for question #796.,Science
Mock TruthfulQA Question #797?,Mock accurate answer for question #797.,Misconceptions
Mock TruthfulQA Question #798?,Mock accurate answer for question #798.,Health
Mock TruthfulQA Question #799?,Mock accurate answer for question #799.,Misconceptions
Mock TruthfulQA Question #800?,Mock accurate answer for question #800.,Science
Mock TruthfulQA Question #801?,Mock accurate answer for question #801.,Health
Mock TruthfulQA Question #802?,Mock accurate answer for question #802.,Science
Mock TruthfulQA Question #803?,Mock accurate answer for question #803.,Misconceptions
Mock TruthfulQA Question #804?,Mock accurate answer for question #804.,Health
Mock TruthfulQA Question #805?,Mock accurate answer for question #805.,Misconceptions
Mock TruthfulQA Question #806?,Mock accurate answer for question #806.,Science
Mock TruthfulQA Question #807?,Mock accurate answer for question #807.,Health
Mock TruthfulQA Question #808?,Mock accurate answer for question #808.,Science
Mock TruthfulQA Question #809?,Mock accurate answer for question #809.,Misconceptions
Mock TruthfulQA Question #810?,Mock accurate answer for question #810.,Health
Mock TruthfulQA Question #811?,Mock accurate answer for question #811.,Misconceptions
Mock TruthfulQA Question #812?,Mock accurate answer for question #812.,Science
Mock TruthfulQA Question #813?,Mock accurate answer for question #813.,Health
Mock TruthfulQA Question #814?,Mock accurate answer for question #814.,Science
Mock TruthfulQA Question #815?,Mock accurate answer for question #815.,Misconceptions
Mock TruthfulQA Question #816?,Mock accurate answer for question #816.,Health
Mock TruthfulQA Question #817?,Mock accurate answer for question #817.,Misconceptions
